_id,ltable_Id,rtable_Id,ltable_Artist,ltable_TrackName,ltable_Released,ltable_Time,rtable_Artist,rtable_TrackName,rtable_Released,rtable_Time
0,1,s_927, Taylor Swift, Welcome To New York,27-Oct-14, 3:32,Taylor Swift,Welcome To New York,27-Oct-14,3:32
1,2,s_928, Taylor Swift, Blank Space,27-Oct-14, 3:51,Taylor Swift,Blank Space,27-Oct-14,3:51
2,2,s_929, Taylor Swift, Blank Space,27-Oct-14, 3:51,Taylor Swift,Style,27-Oct-14,3:51
3,3,s_928, Taylor Swift, Style,27-Oct-14, 3:51,Taylor Swift,Blank Space,27-Oct-14,3:51
4,3,s_929, Taylor Swift, Style,27-Oct-14, 3:51,Taylor Swift,Style,27-Oct-14,3:51
5,4,s_930, Taylor Swift, Out of the Woods,27-Oct-14, 3:55,Taylor Swift,Out Of The Woods,27-Oct-14,3:55
6,5,s_931, Taylor Swift, All You Had To Do Was Stay,28-Oct-14, 3:13,Taylor Swift,All You Had To Do Was Stay,27-Oct-14,3:13
7,6,s_932, Taylor Swift, Shake It Off,27-Oct-14, 3:39,Taylor Swift,Shake It Off,27-Oct-14,3:39
8,7,s_933, Taylor Swift, I Wish You Would,27-Oct-14, 3:27,Taylor Swift,I Wish You Would,27-Oct-14,3:27
9,8,s_934, Taylor Swift, Bad Blood,27-Oct-14, 3:31,Taylor Swift,Bad Blood,27-Oct-14,3:31
10,9,s_935, Taylor Swift, Wildest Dreams,27-Oct-14, 3:40,Taylor Swift,Wildest Dreams,27-Oct-14,3:40
11,10,s_936, Taylor Swift, How You Get the Girl,27-Oct-14, 4:07,Taylor Swift,How You Get The Girl,27-Oct-14,4:07
12,11,s_1857, Taylor Swift, This Love,27-Oct-14, 4:10,DeBarge,All This Love,25-Oct-10,5:53
13,11,s_2567, Taylor Swift, This Love,27-Oct-14, 4:10,DeBarge,All This Love,25-Mar-97,5:53
14,11,s_937, Taylor Swift, This Love,27-Oct-14, 4:10,Taylor Swift,This Love,27-Oct-14,4:10
15,12,s_938, Taylor Swift, I Know Places,27-Oct-14, 3:15,Taylor Swift,I Know Places,27-Oct-14,3:15
16,13,s_939, Taylor Swift, Clean,27-Oct-14, 4:31,Taylor Swift,Clean,27-Oct-14,4:31
17,38,s_441, Taylor Swift, You're Not Sorry,11-Nov-08, 4:21,Lukas Graham,You're Not There,1-Apr-16,3:22
18,42,s_1766, Taylor Swift, Change,11-Nov-08, 4:40,MuteMath,Changes,23-Sep-16,3:54
19,47,s_2531, Taylor Swift, Dear John,25-Oct-10, 6:43,Joe Walsh,Dear John,12-Jun-07,2:40
20,64,s_695, Taylor Swift, Stay Beautiful,26-Oct-06, 3:56,Tony Bennett and Lady Gaga,But Beautiful,23-Sep-14,4:04
21,67,s_511, Taylor Swift, Our Song,24-Oct-06, 3:21,Elton John,Your Song,12-Nov-02,4:05
22,92,s_441, Taylor Swift, You're Not Sorry,26-Oct-09, 4:21,Lukas Graham,You're Not There,1-Apr-16,3:22
23,96,s_1766, Taylor Swift, Change,26-Oct-09, 4:41,MuteMath,Changes,23-Sep-16,3:54
24,97,s_1766, Taylor Swift, Change,26-Oct-09, 4:32,MuteMath,Changes,23-Sep-16,3:54
25,126,s_2469, Taylor Swift, I Want You Back (Live),21-Nov-11, 1:23,Tye Tribbett & G.A.,I Want It All Back (Live),23-May-06,5:28
26,223,s_911, Rihanna, Consideration (feat. SZA),29-Jan-16, 2:41,Rihanna,Consideration [feat. SZA] [Explicit],29-Jan-16,2:41
27,224,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12
28,225,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13
29,226,s_914, Rihanna, Work (feat. Drake),29-Jan-16, 3:39,Rihanna,Work [feat. Drake] [Explicit],29-Jan-16,3:39
30,227,s_915, Rihanna, Desperado,29-Jan-16, 3:06,Rihanna,Desperado,29-Jan-16,3:06
31,228,s_916, Rihanna, Woo,29-Jan-16, 3:55,Rihanna,Woo [Explicit],29-Jan-16,3:55
32,229,s_917, Rihanna, Needed Me,29-Jan-16, 3:11,Rihanna,Needed Me [Explicit],29-Jan-16,3:11
33,231,s_919, Rihanna, Same Ol’ Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37
34,232,s_920, Rihanna, Never Ending,29-Jan-16, 3:22,Rihanna,Never Ending,29-Jan-16,3:22
35,233,s_923, Rihanna, Love on the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43
36,234,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54
37,234,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00
38,235,s_923, Rihanna, Close to You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43
39,236,s_924, Rihanna, Goodnight Gotham,29-Jan-16, 1:28,Rihanna,Goodnight Gotham,29-Jan-16,1:28
40,237,s_925, Rihanna, Pose,29-Jan-16, 2:24,Rihanna,Pose [Explicit],29-Jan-16,2:24
41,238,s_926, Rihanna, Sex with Me,29-Jan-16, 3:26,Rihanna,Sex With Me [Explicit],29-Jan-16,3:26
42,255,s_909, Rihanna, Diamonds,1-Jan-12, 3:45,Barry Gibb,Diamonds,7-Oct-16,5:17
43,302,s_504, Rihanna, Mad House,1-Jan-09, 1:34,Jimi Hendrix,Red House,1-Jan-10,3:50
44,313,s_502, Rihanna, Cold Case Love,1-Jan-09, 6:04,Jimi Hendrix,Bold as Love,1-Jan-10,4:11
45,316,s_909, Rihanna, Diamonds,1-Jan-12, 3:45,Barry Gibb,Diamonds,7-Oct-16,5:17
46,354,s_504, Rihanna, Mad House,23-Nov-09, 1:34,Jimi Hendrix,Red House,1-Jan-10,3:50
47,362,s_88, Rihanna, Photographs,23-Nov-09, 4:46,Ed Sheeran,Photograph,23-Jun-14,4:19
48,365,s_502, Rihanna, Cold Case Love,23-Nov-09, 6:04,Jimi Hendrix,Bold as Love,1-Jan-10,4:11
49,372,s_412, Rihanna, Last Time,1-Jan-05, 4:53,Carly Rae Jepsen,First Time,26-Aug-16,3:35
50,372,s_426, Rihanna, Last Time,1-Jan-05, 4:53,Idina Menzel,Last Time,23-Sep-16,3:57
51,393,s_911, Rihanna, Consideration (feat. SZA),29-Jan-16, 2:41,Rihanna,Consideration [feat. SZA] [Explicit],29-Jan-16,2:41
52,394,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12
53,395,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13
54,396,s_914, Rihanna, Work (feat. Drake),29-Jan-16, 3:39,Rihanna,Work [feat. Drake] [Explicit],29-Jan-16,3:39
55,397,s_915, Rihanna, Desperado,29-Jan-16, 3:06,Rihanna,Desperado,29-Jan-16,3:06
56,398,s_916, Rihanna, Woo,29-Jan-16, 3:55,Rihanna,Woo [Explicit],29-Jan-16,3:55
57,399,s_917, Rihanna, Needed Me,29-Jan-16, 3:11,Rihanna,Needed Me [Explicit],29-Jan-16,3:11
58,401,s_919, Rihanna, Same Ol’ Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37
59,402,s_920, Rihanna, Never Ending,29-Jan-16, 3:22,Rihanna,Never Ending,29-Jan-16,3:22
60,403,s_923, Rihanna, Love On the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43
61,404,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54
62,404,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00
63,405,s_923, Rihanna, Close To You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43
64,406,s_924, Rihanna, Goodnight Gotham,29-Jan-16, 1:28,Rihanna,Goodnight Gotham,29-Jan-16,1:28
65,407,s_925, Rihanna, Pose,29-Jan-16, 2:24,Rihanna,Pose [Explicit],29-Jan-16,2:24
66,408,s_926, Rihanna, Sex With Me,29-Jan-16, 3:26,Rihanna,Sex With Me [Explicit],29-Jan-16,3:26
67,409,s_911, Rihanna, Consideration (feat. SZA),29-Jan-16, 2:41,Rihanna,Consideration [feat. SZA] [Explicit],29-Jan-16,2:41
68,410,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12
69,411,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13
70,412,s_914, Rihanna, Work (feat. Drake),29-Jan-16, 3:39,Rihanna,Work [feat. Drake] [Explicit],29-Jan-16,3:39
71,413,s_915, Rihanna, Desperado,29-Jan-16, 3:06,Rihanna,Desperado,29-Jan-16,3:06
72,414,s_916, Rihanna, Woo,29-Jan-16, 3:55,Rihanna,Woo [Explicit],29-Jan-16,3:55
73,415,s_917, Rihanna, Needed Me,29-Jan-16, 3:11,Rihanna,Needed Me [Explicit],29-Jan-16,3:11
74,417,s_919, Rihanna, Same Ol’ Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37
75,418,s_920, Rihanna, Never Ending,29-Jan-16, 3:22,Rihanna,Never Ending,29-Jan-16,3:22
76,419,s_923, Rihanna, Love on the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43
77,420,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54
78,420,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00
79,421,s_923, Rihanna, Close to You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43
80,423,s_909, Rihanna, Diamonds,1-Jan-12, 3:45,Barry Gibb,Diamonds,7-Oct-16,5:17
81,441,s_909, Rihanna, Diamonds,1-Jan-12, 3:45,Barry Gibb,Diamonds,7-Oct-16,5:17
82,523,s_911, Rihanna, Consideration (feat. SZA),29-Jan-16, 2:41,Rihanna,Consideration [feat. SZA] [Explicit],29-Jan-16,2:41
83,524,s_912, Rihanna, James Joint,29-Jan-16, 1:12,Rihanna,James Joint [Explicit],29-Jan-16,1:12
84,525,s_913, Rihanna, Kiss It Better,29-Jan-16, 4:13,Rihanna,Kiss It Better [Explicit],29-Jan-16,4:13
85,526,s_914, Rihanna, Work (feat. Drake),29-Jan-16, 3:39,Rihanna,Work [feat. Drake] [Explicit],29-Jan-16,3:39
86,527,s_915, Rihanna, Desperado,29-Jan-16, 3:06,Rihanna,Desperado,29-Jan-16,3:06
87,528,s_916, Rihanna, Woo,29-Jan-16, 3:55,Rihanna,Woo [Explicit],29-Jan-16,3:55
88,529,s_917, Rihanna, Needed Me,29-Jan-16, 3:11,Rihanna,Needed Me [Explicit],29-Jan-16,3:11
89,531,s_919, Rihanna, Same Ol’ Mistakes,29-Jan-16, 6:37,Rihanna,Same Ol' Mistakes,29-Jan-16,6:37
90,532,s_920, Rihanna, Never Ending,29-Jan-16, 3:22,Rihanna,Never Ending,29-Jan-16,3:22
91,533,s_923, Rihanna, Love on the Brain,29-Jan-16, 3:43,Rihanna,Close To You,29-Jan-16,3:43
92,534,s_413, Rihanna, Higher,29-Jan-16, 2:00,Carly Rae Jepsen,Higher,26-Aug-16,3:54
93,534,s_922, Rihanna, Higher,29-Jan-16, 2:00,Rihanna,Higher [Explicit],29-Jan-16,2:00
94,535,s_923, Rihanna, Close to You,29-Jan-16, 3:57,Rihanna,Close To You,29-Jan-16,3:43
